Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,,,,
12-06-2023 17:36:01.927,2400,16,2,52,-3,,,,
12-06-2023 17:36:01.946,2401,16,3,45,-7,,,,
12-06-2023 17:36:01.968,2402,16,3,39,-13,,,,
12-06-2023 17:36:01.985,2403,16,3,37,-14,,,,
12-06-2023 17:36:02.006,2404,16,5,33,-16,,,,
12-06-2023 17:36:02.025,2405,17,11,32,-18,,,,
12-06-2023 17:36:02.045,2406,17,12,31,-18,,,,
12-06-2023 17:36:02.065,2407,16,9,31,-17,,,,
12-06-2023 17:36:02.085,2408,16,6,32,-15,,,,
12-06-2023 17:36:02.107,2409,15,3,32,-14,,,,
12-06-2023 17:36:02.127,2410,15,0,33,-12,,,,
12-06-2023 17:36:02.146,2411,15,-1,36,-12,,,,
12-06-2023 17:36:02.166,2412,15,-2,37,-12,,,,
12-06-2023 17:36:02.185,2413,15,-1,35,-11,,,,
12-06-2023 17:36:02.204,2414,15,0,34,-16,,,,
12-06-2023 17:36:02.228,2415,15,0,35,-12,,,,
12-06-2023 17:36:02.247,2416,16,0,39,-10,,,,
12-06-2023 17:36:02.267,2417,15,1,46,-10,,,,
12-06-2023 17:36:02.288,2418,16,1,46,-10,,,,
12-06-2023 17:36:02.307,2419,16,0,53,-11,,,,
12-06-2023 17:36:02.327,2420,15,0,64,-7,,,,
12-06-2023 17:36:02.344,2421,15,-1,68,-7,,,,
12-06-2023 17:36:02.365,2422,15,-1,75,-5,,,,
12-06-2023 17:36:02.386,2423,16,0,79,-4,,,,
12-06-2023 17:36:02.406,2424,16,0,83,-2,,,,
12-06-2023 17:36:02.427,2425,16,0,84,-1,,,,
12-06-2023 17:36:02.449,2426,17,0,85,0,,,,
12-06-2023 17:36:02.464,2427,18,0,82,1,,,,
12-06-2023 17:36:02.488,2428,18,0,88,-2,,,,
12-06-2023 17:36:02.506,2429,18,0,97,-179,,,,
12-06-2023 17:36:02.524,2430,17,1,93,-178,,,,
12-06-2023 17:36:02.548,2431,16,1,92,-179,,,,
12-06-2023 17:36:02.565,2432,16,1,87,0,,,,
12-06-2023 17:36:02.587,2433,15,1,85,0,,,,
12-06-2023 17:36:02.614,2434,15,2,77,-1,,,,
12-06-2023 17:36:02.627,2435,16,2,74,-2,,,,
12-06-2023 17:36:02.645,2436,16,2,70,-3,,,,
12-06-2023 17:36:02.666,2437,16,2,63,-2,,,,
12-06-2023 17:36:02.685,2438,16,2,57,-4,,,,
12-06-2023 17:36:02.705,2439,16,2,55,-6,,,,
12-06-2023 17:36:02.728,2440,16,2,50,-7,,,,
12-06-2023 17:36:02.747,2441,16,3,45,-11,,,,
12-06-2023 17:36:02.764,2442,16,3,44,-12,,,,
12-06-2023 17:36:02.787,2443,16,3,42,-14,,,,
12-06-2023 17:36:02.806,2444,16,3,40,-17,,,,
12-06-2023 17:36:02.828,2445,16,3,39,-19,,,,
12-06-2023 17:36:02.847,2446,16,3,39,-19,,,,
12-06-2023 17:36:02.866,2447,16,3,38,-19,,,,
12-06-2023 17:36:02.887,2448,16,3,38,-18,,,,
12-06-2023 17:36:02.905,2449,16,3,38,-17,,,,
12-06-2023 17:36:02.925,2450,16,3,40,-16,,,,
12-06-2023 17:36:02.945,2451,16,3,41,-17,,,,
12-06-2023 17:36:02.968,2452,16,3,47,-16,,,,
12-06-2023 17:36:02.985,2453,16,3,48,-14,,,,
12-06-2023 17:36:03.007,2454,17,2,45,-13,,,,
12-06-2023 17:36:03.024,2455,17,2,41,-14,,,,
12-06-2023 17:36:03.048,2456,17,2,47,-12,,,,
12-06-2023 17:36:03.067,2457,17,2,48,-12,,,,
12-06-2023 17:36:03.086,2458,17,2,55,-10,,,,
12-06-2023 17:36:03.106,2459,17,1,62,-10,,,,
12-06-2023 17:36:03.125,2460,17,1,66,-10,,,,
12-06-2023 17:36:03.145,2461,16,1,74,-10,,,,
12-06-2023 17:36:03.165,2462,16,1,81,-6,,,,
12-06-2023 17:36:03.186,2463,16,1,84,-5,,,,
12-06-2023 17:36:03.206,2464,16,1,95,-178,,,,
12-06-2023 17:36:03.229,2465,17,1,99,180,,,,
12-06-2023 17:36:03.245,2466,17,1,95,179,,,,
12-06-2023 17:36:03.265,2467,17,1,111,179,,,,
12-06-2023 17:36:03.284,2468,17,1,113,180,,,,
12-06-2023 17:36:03.306,2469,17,1,110,-179,,,,
12-06-2023 17:36:03.326,2470,17,1,111,-179,,,,
12-06-2023 17:36:03.346,2471,16,1,105,180,,,,
12-06-2023 17:36:03.368,2472,16,1,103,179,,,,
12-06-2023 17:36:03.386,2473,16,1,97,177,,,,
12-06-2023 17:36:03.409,2474,16,1,91,179,,,,
12-06-2023 17:36:03.427,2475,16,1,87,-3,,,,
12-06-2023 17:36:03.448,2476,16,1,80,-7,,,,
12-06-2023 17:36:03.471,2477,16,1,72,-9,,,,
12-06-2023 17:36:03.490,2478,16,1,66,-8,,,,
12-06-2023 17:36:03.506,2479,16,1,63,-7,,,,
12-06-2023 17:36:03.528,2480,17,1,54,-10,,,,
12-06-2023 17:36:03.546,2481,17,1,52,-11,,,,
12-06-2023 17:36:03.564,2482,17,1,50,-11,,,,
12-06-2023 17:36:03.586,2483,17,1,47,-10,,,,
12-06-2023 17:36:03.607,2484,17,1,46,-11,,,,
12-06-2023 17:36:03.624,2485,17,1,45,-11,,,,
12-06-2023 17:36:03.647,2486,17,1,41,-15,,,,
12-06-2023 17:36:03.664,2487,17,1,41,-15,,,,
12-06-2023 17:36:03.687,2488,17,1,39,-15,,,,
12-06-2023 17:36:03.706,2489,17,1,37,-15,,,,
12-06-2023 17:36:03.724,2490,17,1,37,-15,,,,
12-06-2023 17:36:03.748,2491,17,1,37,-15,,,,
12-06-2023 17:36:03.766,2492,17,1,38,-14,,,,
12-06-2023 17:36:03.784,2493,17,1,38,-14,,,,
12-06-2023 17:36:03.805,2494,17,1,40,-14,,,,
12-06-2023 17:36:03.828,2495,17,1,40,-10,,,,
12-06-2023 17:36:03.847,2496,17,1,40,-9,,,,
12-06-2023 17:36:03.867,2497,17,1,40,-14,,,,
12-06-2023 17:36:03.886,2498,17,1,44,-12,,,,
12-06-2023 17:36:03.904,2499,16,1,42,-11,,,,
12-06-2023 17:36:03.927,2500,17,1,45,-10,,,,
12-06-2023 17:36:03.947,2501,17,1,46,-10,,,,
12-06-2023 17:36:03.964,2502,17,1,47,-7,,,,
12-06-2023 17:36:03.986,2503,17,1,49,-7,,,,
12-06-2023 17:36:04.007,2504,17,1,51,-5,,,,
12-06-2023 17:36:04.025,2505,17,1,55,-5,,,,
12-06-2023 17:36:04.044,2506,17,1,64,-2,,,,
12-06-2023 17:36:04.064,2507,17,1,70,0,,,,
